teks,emosi
"Pembersihan adalah sukses, waktu permainan sekarang",sukacita
Saya bermain di turnamen sepak bola dan melihat aturan secara terbuka diabaikan.,amarah
Secangkir kopi pertama pada hari Minggu pagi,sukacita
"T/Tuhan adalah awal dari kebijaksanaan, & amp; #Knowledge, dari t/ #holyone adalah pengertian ~ Amsal 9:10",takut
"Hari itu saya sendirian di rumah setelah pulang dari sekolah.  Saya tidak tahu ke mana orang lain pergi, saya terus menunggu mereka kembali dan tidak ada yang datang.  Itu sudah sangat terlambat dan saya takut.",takut
"tidak bisa takut apa pun., Ingin apapun ..",takut
"Hukum Tuhan-prinsip, sila untuk hidup, bimbingan-kerja.  Manusia tidak.",sukacita
"Terima kasih untuk pelatih email, sayang sekali ini sudah satu jam, saya akan tidur, dan penjelasan Anda membuat saya bingung lebih dari pertanyaan",sukacita
Makanan untuk dipikirkan: Jatuh dan suara keras adalah satu -satunya ketakutan kita dilahirkan - semua orang lain dipelajari melalui pengalaman hidup.,takut
"Seorang teman saya telah berjanji untuk mengatur saya beberapa tiket untuk konser yang saya anggap penting.  Dia tidak bisa mendapatkannya seperti yang dia pikirkan, jadi dia menyerah semuanya.",amarah
Ini berhasil: anak laki -laki sekarang memiliki persahabatan yang lebih jauh dan David jauh lebih bahagia.,sukacita
-& gt; Jangan pernah mengatakan sesuatu yang negatif kepada orang yang merupakan bagian dari kelompok manajemen. Lmao,amarah
Tweet terkait cuaca!,amarah
& quot; Anda dikonfirmasi untuk menguji Star Wars: The Old Republic! & Quot;,sukacita
"Pagi yang indah 2 u, cinta! Ketika Anda berbicara 2 Yesus tentang keajaibannya, ia mengisi Anda dengan kemuliaan -Nya! Dia hanya baik! A.M. & lt; 3 & lt; 3 & lt; 3",sukacita
Kebanyakan gadis harus memaksa pacar mereka untuk menonton Twilight bersama mereka ... tetapi Brayden membuatku menonton mereka bersamanya.,sukacita
Furuseth sangat marah dengan dirinya sendiri.,amarah
"Saya mendorong Anda untuk mengungkapkan ketika Anda bahagia, jadi orang lain mungkin memahami bahwa kebahagiaan itu mungkin. #Paulocoelho",sukacita
Trey lucu sebagai omong kosong,sukacita
Saya tidur untuk mencoba dan mengabaikan dan botyled di dalam diri saya,amarah
"@Dcrucolin karena saya hanya punya ps3, itu satu -satunya hal yang bisa saya mainkan tetapi saya lebih suka disk BC2 :)",sukacita
"Terlepas dari upaya media untuk mengusirnya, Hillis adalah pemain paling berbakat yang tersinggung. Nikmati dia selama 4 pertandingan lagi.",kesedihan
Menulis ulang bagian esai saya ... itu adalah pekerjaan hari ini. Pekerjaan besok adalah memulai Ocean & amp; Kursus Proses Pesisir [di perpustakaan ..],sukacita
Di tempat tidur dengan flu melakukan 13 tugas TIK untuk dilakukan untuk Tommora Blasting @ollyofficial Dance dengan saya malam ini. Lagu ini membawa saya: D,sukacita
Saya meragukannya.,netral
"Saya menerima tugas kembali, dan mendapat penilaian A+.",sukacita
Menonton film horor.,takut
"Sayangnya, bagian terbaik dari permainan malam ini adalah melihat LeBron James secara langsung. Tapi tetap saja: #wtd dan #goDucks",kesedihan
Meninggalkan kemah hari ini,kesedihan
"Begitulah cara kerjanya, itu bukan bagaimana kelanjutannya, dan saya menjadi tinggi hanya untuk menyeimbangkan posisi terendah ....",takut
Email Terakhir Dikirim - Saatnya pulang ke rumah untuk nasi dadih lezat dan kembali ke sini…,sukacita
@Erica_sydney hey Erica! Biarkan @cuteshoes_12wbt lihat tweet Anda! Hanya bisa melihat Anda ketika saya membalik ke sini. #wanttoseeyouinallplaces #grin,kesedihan
"@Sil_spadafora terima kasih Silvia. Semoga hari Anda menyenangkan ✿◕‿◕✿, diisi dengan *❤ *& amp;",sukacita
"Tuhan melarang, saya makan tikus seharga $ 50000. faktor menyebalkan",takut
Kami pikir dia sudah mati ... dia kembali untuk membalas dendam! & quot; 3 dan Pertempuran Streaming & Quot; Segera di layar Anda.,takut
"Sangat sakit saya pada dasarnya pincang, saya terlihat seperti bodoh dan orang -orang terus memberi saya penampilan aneh",sukacita
"Tampaknya langit akan jatuh dengan begitu banyak hujan, kilat tidak pernah melihat begitu banyak di malam hari O.O",takut
"Baru saja menyelesaikan pertandingan sepak bola, dan segera berlatih sepak bola",sukacita
Pergi ke Priscilla Queen of the Desert & amp; Ray Mears ada di dalamnya. Bonus Alf yang tidak terduga,sukacita
Saya harus bangun jam 8 pagi dan kembali ke Smyrna.,sukacita
& quot; Orang -orang paling bahagia tidak harus memiliki yang terbaik dari segalanya ..... mereka hanya membuat yang terbaik dari segalanya. & quot;,sukacita
"Ketika saya dikhianati oleh seorang teman, dan memutuskan untuk tetap terpisah untuknya.",kesedihan
"Salah mengutip Anda: Dia keliling karena dia sengsara. """,kesedihan
"Saya seorang guru sekolah.  Salah satu kelas tidak menaati saya sama sekali, terus berbicara, tidak berhasil.  Suatu sore, semuanya salah, dan saya menjadi sangat marah.",amarah
Guy di sebelah saya memiliki 3 jack dan diet coke dalam penerbangan 50 menit ke NJ pada jam 9:00 pagi terbang #safer dari 128,takut
Topik tren ini membuat saya merasa seolah -olah saya telah meretas ke dalam akun tetapi saya belum,sukacita
Ketika teman sekamar saya mengunci kunci kamar saya di kamar kami setelah saya mengatakan kepadanya bahwa saya hanya di kamar mandi saat mandi.  Dia pergi dan saya harus melakukannya tanpa makan malam.,amarah
"Ketika saya bertemu pacar saya dan kami menemukan bahwa kami berbagi cita -cita dan tujuan yang sama dalam hidup, dan bahwa kami dapat berbagi semua perasaan dan pemikiran kami dan merasa bahwa dunia tidak begitu buruk ketika Anda memiliki seseorang yang sangat dekat untuk berbagi hidup Anda.",sukacita
"Merefleksikan pengalaman itu, Donia berkata: `` Saya pikir Anda bersemangat dengan tekad dan kekuatan roh manusia. ''",sukacita
Setelah hubungan seksual.,sukacita
John Parsons in Nice sedih melihat bekas dunia No 1 rendah hati dalam upaya comeback lain pada usia 35,kesedihan
"Kakak saya harus menjalani operasi yang sangat rumit, penglihatannya dipertaruhkan.",takut
Orang -orang yang memiliki pertandingan sepak bola di luar jendela selama kuliah.,amarah
"@Becallyne Consummating adalah berhubungan seks, bodoh. Jadi Anda sama sekali tidak bermain! :( #sadness",amarah
"Dengan napas kecil -kecilnya, dia mendorong kakinya ke lantai.",amarah
"Saya ingin menghubungi seorang gadis yang saya cintai, tetapi saya takut dia akan menolak saya.",takut
Pemilihan negara bagian berturut -turut telah melihat partai -partai pemerintahan yang dihantam oleh pemilih yang kecewa.,takut
Sekarang dia marah karena kesedihan.,kesedihan
Terima kasih kalian atas semua dukungan yang akan kami mainkan di 3 45 atau 5 jadi tonton tim favorit Anda,takut
@Marinedadga hari ini adalah hari terima kasih dan memberi.  Jadi untuk menghormati saya berterima kasih kepada Anda keluarga dan Blake.   #keluarga,sukacita
Hanya berjalan 40 menit terlambat,sukacita
Orang kulit putih tua melakukan tarian hitam ..,sukacita
"Waktu untuk tidur, akhirnya (:://",sukacita
FML menulis ulang matematika pada hari Senin. Tidak pandai matematika. Dan,kesedihan
"Shut Upp, Bu. Seperti benar -benar? Anda tidak tahu apa -apa tentang saya ..",amarah
Satu malam yang membosankan dan panjang di depan saya:/,sukacita
Parade Fuquay !! Saatnya melakukan beberapa kebahagiaan !! :),sukacita
"(◕‿-) Bagaimana do-de hari ini!  Semoga hari Anda penuh dengan kegembiraan dan cahaya, semoga meja Anda tidak pernah kosong.✿♡✿*¨*• .¸¸✿｡♪ & amp; #peace untuk Anda!",sukacita
Saya merasa sedih ketika saya melihat hal -hal yang dilakukan terhadap pria dan tidak ada yang bisa menghentikannya - setidaknya saya pikir begitu.,kesedihan
Tiga hari rumah keluarga penuh .... buah saya telah diuji! Saya lulus tes ... saya pikir :),sukacita
Languedoc dia memiliki senyum boneka porselen.,takut
Tidak terlalu .,netral
Saya kira keinginan semua orang menjadi kenyataan tadi malam tidak ada lagi Twitter atau telepon untuk saya,kesedihan
Rt. & quot; @hush_marc: Saya benar -benar merusak pantat saya hari ini turun ke tangga -_- & quot;,sukacita
Apakah melakukan debut malam ini dan di mana saya? Atau benar ... di kelas.,sukacita
Semester Musim Dingin akan menjadi intens: D,sukacita
@hayraee itu sangat manis darimu (: aku merindukanmu wittle muffin!,kesedihan
"@Melibellule Saya baru saja menunjukkan foto itu kepada Maïté, saya takut telah memberinya ide ...",takut
@coffeemaverick memberi tahu kami bahwa kami telah mengorbankan lebih dari yang lain. Memberitahu kita sudah waktunya 2 khawatir tentang masa depan. &#xa; &#xa; Luke 9: 3,takut
Ketika saya berpikir bahwa tidak mungkin bagi saya untuk mulai belajar (karena informasi yang salah dari penasihat siswa).,kesedihan
Ketika pacar saya memutuskan untuk menyelesaikan hubungan kami.,kesedihan
"tidak akan menjadi mitos atau elusi tetapi realitas bahagia!@Natasham89: Menjadi setia bukan pilihan, itu adalah persyaratan #relationships",sukacita
Saya hanya tidak mempercayai Anda lagi.,amarah
Saat aku melihat hantu.,takut
Merasa cerdas dan bahagia hari ini! Tuhan dulu!,sukacita
Gelar di atas es dan menghancurkan bibir Anda terbuka dengan gigi Anda. Ahhhhhh,takut
Wheeew membuat cd lain untuk rumah trio saya besok malam!,sukacita
"Maaf, hal -hal yang dijual tidak diizinkan untuk dikembalikan atau ditukar.",kesedihan
Tuhan adalah terang dan keselamatan saya - siapa yang harus saya takuti? Ketakutan bukanlah suatu pilihan! Saya akhirnya senang dan bahagia,sukacita
26 Pelanggan dari 1300 di YouTube. o_o terlalu buruk saya tidak mengunggah lagi :(,kesedihan
Bangun satu jam sebelum alarm saya seharusnya berbunyi. Bekerja 11 hingga 11. Lalu pulang untuk istirahat & amp yang sangat dibutuhkan; relaksasi.,sukacita
"Hei, Mary, senang bertemu denganmu lagi. Saya mendengar Anda akan kembali ke rumah ke u. S .",sukacita
Suatu hari aku akan menulis tentang feminisme dan bagaimana aku bertemu ibumu,amarah
Ibu di rumah sakit dan tidak terlihat bagus :(,kesedihan
Seseorang memainkan trik pada saya.,amarah
.Ketika kemarahan ayah Anda dan Yuu tertawa.,amarah
Pikiran balap saya membuat saya tetap terjaga. = [,kesedihan
Pikirkan saatnya untuk menyelesaikan beberapa pekerjaan rumah,sukacita
Saya suka memakai sweater Natal norak.,sukacita
Apakah kamu sudah selesai?,amarah
"Sekarang krumbs di seluruh tempat, dan dia ingin aku kum di wajahnya",sukacita
Kayden memiliki mata merah muda sehingga tidak ada sekolah selama dua hingga tiga hari.,sukacita
"@byharryconnolly spawn saya menderita dingin/batuk. Hari-hari yang dipenuhi ingus, dan malam tanpa tidur!",sukacita
Jadi adegan itu kehilangan @WanderLustPizza (San Fran Bound) & amp; @guerrillastreet (Perjalanan Cross Country) pada tahun 2012?,kesedihan
"Maaf, tapi saya tidak terlalu tertarik dengan hal -hal itu.",kesedihan
Firman Tuhan tidak akan pernah kembali batal.  @thelinkatclc,sukacita
Girl ii ingin Anda sangat buruk. !! tapi coba tebak apa yang baru saja saya ventilasi .. iim mengendalikan saya,amarah
"Suami saya pergi untuk mengendarai mobil yang aneh dan rusak.  Pada waktu yang disepakati, dia belum kembali, dan saya khawatir dia mengalami kecelakaan.",takut
@tvangarderen88 merilis foto cedera pelatihan Markel sama merugikan pembalap junior seperti membahas berat Jakob.,takut
Bagian terindah dari upacara ini adalah kesenangan di wajah Todd ketika ia didekat dengan altar untuk menerima Ekaristi dengan lengannya terentang.,sukacita
"Dia tampak terlalu tertekan untuk melakukan banyak hal, berkeliaran di sekitar rumah seperti zombie.",kesedihan
"@Nickchallis @imjustgar misha, misha, kamu adalah vagina sialan, kelahiranmu vagina, kamu akan mati vagina, kamu adalah vagina sialan",amarah
Saat itu ketika Anda menyadari bahwa Anda telah mengenakan 4 potong pakaian yang sama 24 jam sehari selama seminggu ....,kesedihan
"Siap untuk akhir pekan, memanggang malam ini !!",sukacita
Ketika saya menyebabkan banyak rasa sakit dan kesedihan kepada pacar saya dengan menyelesaikan hubungan kami.,kesedihan
Saya menyalahkan Keith Hackney untuk semua ini. Bayangkan bangun setiap hari mengetahui bahwa bola -bola Anda dipukul di PPV di depan jutaan.,amarah
Ya ampun. Salju begitu sepenuhnya dan cantik!,sukacita
Ini bukan hanya masalah kesehatan yang mereka derita tetapi banyak orang bisa benar -benar depresi tinggal di rumah -rumah di mana mereka harus terus mencuci cetakan dari dinding.,kesedihan
"Saya sangat takut di luar ketika gelap., Saya merasa seseorang akan datang menyambar saya!",takut
Hari beberapa teman saya dan saya memutuskan untuk pergi ke Galicia pada hari libur.,sukacita
"Tetapi Stuc juga menyuarakan kegelisahan tentang jalan piket Senin lalu ditangani oleh polisi, dan mengatakan telah mendapatkan janji bahwa kepolisian sekarang akan `adil"".",takut
Mengapa saya bisa mengalahkan @nono1311 dan @mitchcain dalam sepak bola fantasi? #rematch #imthrowingtheredFlag,amarah
"Dia lelah sebagai pengobatan untuk pasien yang mengalami depresi, dan, diberikan selama beberapa minggu daripada berhari -hari, tetapi memiliki kelemahan serta kelebihan.",kesedihan
Saatnya belajar untuk Anat manusia,sukacita
"Jadi peluang pemecatan dini hari ini tampak hebat pagi ini, tetapi mereka tidak lagi. #slowday #blehh #IhatemonDays",kesedihan
anak anjing kecilku yang malang huwt kakinya):,kesedihan
Saya tidak punya surat perintah.,amarah
"Bob Halton, tidak cukup bersalah, tetapi bingung dengan upaya manipulatif ibunya dan manipulatif untuk mempertahankannya sendiri, terbatupkan untuk diambil alih sepenuhnya.",takut
"Ketika saya masih kecil, saya bermain di dek atas tempat tidur bersama saudara laki -laki saya.  Orang tua saya tidur di dek bawah.  Ayah saya merasa jijik dan memukuli saya.  Saya merasa sangat sedih karena ayah saya tidak pernah mengalahkan saya atau memarahi saya sebelumnya.",kesedihan
"Ya. @BCKMPH cukup benar. Di suatu tempat, sangat mungkin sekarang, seorang Skotlandia yang mabuk sedang berusaha memisahkan diri dari kawat berduri.",sukacita
Saya sudah berdiri di sini sejak setengah tujuh. Di Bumi Di Bumi Anda?,amarah
Pelatih Bailey mengingatkan saya pada pria tua dari Gran Torino lol,amarah
Saya merasa sendirian di antara sejumlah besar orang.  Saya sedih melihat bahwa tidak ada yang peduli tentang apa yang terjadi pada saya.,kesedihan
Itu resmi! Januari ini saya akan menuju ke Ekuador dengan @ewb_pdx untuk beberapa pekerjaan pengembangan kelas satu!,sukacita
"Namun demikian, kegelisahan Komisi tidak mencegahnya menyetujui penunjukan tersebut.",takut
"Saya suka anjing saya, tapi saya benci melihatnya seperti ini..saya pikir kita harus menjatuhkannya. : '(",kesedihan
Dia sangat ketakutan sekarang.,takut
Barista favorit saya berhenti ketika saya masih di sekolah. Rasanya seperti orang yang dicintai mati dan saya baru saja mencari tahu,kesedihan
Saya sedang berjalan menyusuri jalan dan tiba -tiba beberapa anjing muncul di pagar dan mulai menggonggong dengan marah.  Mereka melompat dan sepertinya mereka akan datang untuk saya kapan saja.,takut
@Rediculust Saya menemukan 224 di Goofle dan membagikannya dengan kelompok yang dimulai lagi.,sukacita
LOL masuk ke mode shutdown. Sekarang saatnya belajar.,sukacita
Seorang teman sekelas mengatakan kepada saya bahwa saya pasti telah menyuap pemimpin kelas untuk membiarkan saya pergi ke kuliah bahasa Inggris Anda.,amarah
Yah saya baru saja bangun dan tidak ada yang ada di sini. Apel untuk sarapan itu. Akan belajar untuk final saya sore ini.,sukacita
Melihat intinya dan tidak melihat kami di mangkuk gula masih membuat saya ingin mencekik seseorang.,amarah
Tidak percaya itu memakan waktu 3 jam. Kartu dan surat besok #bahhumbug,sukacita
@TheBodyShopuk rendam panjang di kamar mandi dengan lulur jahe manisan saya,sukacita
Dipilih untuk melakukan percobaan ini.,sukacita
Saya merasakan sukacita ketika saya datang untuk mengenal Kristus.  Saat itulah saya menjadi seorang Kristen.,sukacita
"Jangan khawatir, Anda akan menemukan jalan.",netral
"Keluar dari napas, dan marah untuk dicatat bahwa dia bahkan tidak terengah -engah, dia berjuang untuk membebaskan dirinya, lalu memelototinya.",amarah
Menerima surat dari seorang anak laki -laki yang saya peduli.,sukacita
"Aku benci orang yang memulai tweet dengan ""Aku benci orang itu."" & #Rude #haters #losers",amarah
"Ahhh jus mencintai gadis saya amy, membuatku tertawa, melengkung mi hair n semuanya, den dance n menyanyikan video setelahnya",sukacita
"Ini akan menjadi suara yang tidak populer, tapi, saya berharap hujan ini malah.  #Centeonsnow",sukacita
Lebih dari 2000 orang untuk memasuki akhir yang telah kami selesaikan di #KAPI. Apakah kamu siap?,sukacita
Tiba -tiba saya merasa rentan,takut
"Maaf jika saya merusak rencana makan Anda, meskipun ham yang enak akan terasa enak besok & amp; Hilangkan keluarga Anda bahwa Anda mungkin adalah Al Qaeda.",takut
Mencintai iPad ini dengan dermaga keyboard. Saya bisa duduk di sini di tempat kerja menonton streaming twitter saya itu terjadi!,sukacita
Saya hanya bingung seseorang di uni saya dengan & quot; orang tertentu & quot;.  Hati nurani saya tidak meninggalkan saya,takut
@Jonascanfly merasa lebih baik & lt; 3 dan saat Anda pulang dan pergi Anda dapat membaca pesan saya yang sangat panjang; p,sukacita
IPod saya sekarat :( Itu berarti tidak ada facebook atau twitter sampai saya tidak bekerja,kesedihan
"Apakah kuku saya, yang tercoreng. Redid satu, noda dua dalam proses. Sekarang saya pergi dengan tiga kuku yang dicabut dan kuku patah",amarah
"Dia berbicara dengan tenang dalam bahasa Yunani kepada bocah itu, menenangkan kekesalannya saat mematikan video.",amarah
Mengemudi dan bersin di jalan raya,takut
Saya merasakannya ketika saya menerima surat yang mengatakan bahwa saya telah diklasifikasikan dalam sebuah concourse nasional P ... Saya merasa bahagia dan kesombongan tentang hal itu.,sukacita
"Saya tidak akan berbohong, keluarga saya merayakan Natal tanpa pohon Natal, di mana perayaannya?!?!? #gay",kesedihan
Bertemu dengan dua teman saya yang belum pernah saya lihat selama 15 tahun. Mereka adalah orang -orang istimewa bagi saya.,sukacita
"Saya alpha & amp; omega, awal & amp; Akhir ... siapa dan siapa dan siapa yang akan datang, Yang Mahakuasa.  Rev 1: 8",sukacita
Saya suka mematikan semua lampu dan melihat pohon Natal saya masih menyala!,sukacita
Saya merasa takut ketika saya hanya membayangkan saya bisa kehilangan kepercayaan pada kemampuan dan kekuatan saya sendiri. Perasaan serupa yang kadang -kadang saya rasakan sebelum ujian.,takut
Email sekolah saya penuh dengan email oleh kanselir dan pejabat tinggi UCR lainnya berbicara tentang protes di UC Davis,takut
Itu berhasil untuk saya!,amarah
"Menerima pemberitahuan bahwa saya telah membuat aplikasi yang sukses untuk kursus terapi wicara di Uni, memberi saya rasa prestasi dan kegembiraan yang sangat baik.",sukacita
"@Mokhathi orang biasa meninggalkan SA karena sekarang mereka pergi karena mereka untuk hidup mereka. Tragis, tapi benar.",takut
Putri saya. Dia hilang. Saya tidak tahu di mana dia berada.,kesedihan
Belanja pohon Natal #smells likePine,sukacita
Bekerja sampai dekat. Akan menjadi malam yang sibuk.,sukacita
Love You Ruff Stern dan ke Point League adalah lelucon,amarah
"Pakaian Hipster Digital: Meja Snowboard, MacBook Air, iPhone 4, Kecelakaan Oxford-ish, Boot Blacks, Fuseaux Verdi, Kemeja Merah.",amarah
"Dia berharap dia tidak tersinggung, sebagai reporter Times.",amarah
Ketika saya diberitahu bahwa paman saya telah meninggal.,kesedihan
Pasti mendengar setidaknya satu tawa nyata dari gadis kecil kami.  Hampir tidak mungkin membuatnya melakukannya lagi!,sukacita
"Tidur, masuk kata (& amp; menantikan jam 2 sore dengan makanan, teman & amp; balet! #sundayfunday",sukacita
Saya tidak suka Natal untuk hadiah .. Saya hanya suka Natal karena itu membawa ppl lebih dekat bersama. Senang melihat orang bahagia #praise,sukacita
"@Logan_2012dt jangan biarkan dia mendapatkan yang terbaik dari Anda, tidak ada yang memiliki kekuatan untuk mencuri Anda",sukacita
"Sobat, saya berharap saya berada di Dallas. Taruhan pertemuan musim dingin sedang bergoyang sekarang.",kesedihan
Itu harus dikunci.,netral
"Uhhooo dokter gigi sepulang sekolah, mungkin terbesar, benar -benar tidak menantikan ini",takut
Saya akan berdiri dengan Anda jika Anda suka. Saya tidak punya apa -apa untuk dilakukan.,netral
Angin dan hujan ini tidak terkendali! #shearfear.,takut
"Ini adalah episode Jerry Springer, karena panas.  #Periods",amarah
"Saya suka sepanjang tahun ini, saya suka memberi tahu orang -orang betapa bersyukurnya saya untuk mereka dan betapa saya mencintai mereka! Itu membawa saya",sukacita
@Oohjennifer baik aku masih agak cemburu !! Bukankah kamu terlibat dengan pria yang luar biasa belum lama?,kesedihan
"Mereka menangkap seorang individu yang mencurigakan suatu malam, dan menyerahkannya ke polisi; Tapi dia ternyata adalah pemeran bilberry yang ketakutan yang tersesat.",takut
Pulang ke tempat tidur hangat yang indah tetapi dengan kesadaran sedih bahwa Anda hanya punya 1/2 jam sampai Anda harus pergi lagi!,kesedihan
Kelas gym kemudian parkir pantat saya di ruang belajar sepanjang malam.,sukacita
Ketika saya diberitahu bahwa saya bisa mengambil cuti seminggu dan melakukan perjalanan dengan teman -teman saya.,sukacita
Ketika ayah saya mengalami pendarahan otak.,kesedihan
Saya telah menekan tombol refresh dalam hidup saya. Tidak ada perasaan keras untuk siapa pun. Aku tidak punya apa -apa selain cinta.,sukacita
Kisah -kisah sedih seperti ini membuatku marah dan sedih sekaligus ... Emosi menjadi liar malam ini.    #penyangkalan,takut
Pada siang hari pada suatu hari Minggu saya menerima telepon yang memberi tahu saya bahwa ibu saya telah dirobohkan oleh mobil di persimpangan jalan dan bahwa suaminya harus pergi dan melihatnya.  Saya tidak bisa percaya ini karena ayah saya dan ibu saya pergi bersama untuk membeli kotak makan siang.  Namun saya segera berlari ke tempat kecelakaan.,takut
Saya pikir tim saya kalah di Trivia. :-(,kesedihan
"Orang -orang di pintu keluar Metro 4 di GDN, dan siapa yang menunggu Anda lewat untuk menjijikkan bagian atas pemintalan ringan mereka",takut
Pertengkaran dalam keluarga.,amarah
"@Mrchuckd garis tipis, dan kadang -kadang, tidak ada garis sialan sama sekali! Inisiasi geng = memeluk di mata banyak orang!",kesedihan
menjadi terlalu nyaman menjadi lajang dan berakhir dengan kesepian untuk sisa saya,takut
Hari saya mendengar bahwa saya lulus ujian sekolah menengah.,sukacita
Saya harus tinggal sepulang sekolah hampir setiap hari minggu ini dan saya mungkin harus besok,sukacita
Ketika saya banyak membaca dan tidak mengingat apa pun.,kesedihan
Brittany tidak berhasil dari kelompok anjing olahraga,kesedihan
"Bagus, selamat ulang tahun untukmu!",sukacita
Ketika saya mendapatkan gelar B.Sc saya dengan kelas satu.,sukacita
"Tidak ingin mencabut lampu Natal saya, tetapi membutuhkan kegelapan total untuk tidur ...",kesedihan
Delapan .,netral
Saya kira saya senang menjadi begitu 'kecil'; Itu berarti saya dapat mengejutkan orang dengan apa yang umumnya dilihat sebagai kepribadian saya yang percaya diri dan ramah.,sukacita
Belanja Black Friday untuk pertama kalinya! Untung saya bukan clastraphobic!,sukacita
"@Sweetdids adik saya tidak mempercayai saya, saya sangat mencintainya, tapi #palantemarik",kesedihan
"`Dia merasa itu akan menyebabkan rasa sakit dan kesedihan bagi William dan Harry. """,kesedihan
"@Stebax Anda harus merasakan - dan #sing itu lagi! :) (Dikatakan oleh saya, mantan solois anak perempuan. (Saya baik - semi -pro.)",netral
"Saya tidak bisa menunggu foto -foto itu keluar, saya sangat senang melihatnya.",sukacita
Menunggu awal dari @OfficialPWG. Kembalinya #Superdragon akan menjadi malam yang menyenangkan!,takut
Kami telah menunjukkan kepada anak -anak itu email yang diejek dari Santa yang menyatakan kekhawatiran bahwa mereka mungkin dipindahkan dari & quot; bagus & quot; daftar kecuali mereka berperilaku.,takut
Hari yang menyenangkan untuk hidup!  Menuju ke Indy untuk Kejuaraan 10 FB Besar .... Spartan!,takut
Ketika saya menyadari bahwa saya berada di rumah sakit setelah kecelakaan mobil dan bahwa saya memiliki scleral robek di mata kiri saya.,kesedihan
Jumat = Central yang pemarah,sukacita
"Saya bertanggung jawab atas program komunitas selama 18 bulan terakhir kehidupannya, jadi saya senang terlibat dalam memperkenalkan aksi masyarakat.",sukacita
Roti kismis membuatku bahagia.,sukacita
Hasil dari melihat diri kita masuk ke dalam suatu situasi tanpa Tuhan. Iman menyadari bahwa dia sampai di sana b4 yang kita lakukan. G'nite!,takut
Apakah kamu?,netral
Suasana hati yang sempurna untuk mendengarkan strain acacia #hate,amarah
"Jadi sekarang kelas bahasa Inggris saya keluar super lebih awal, saya bisa menunggu lebih dari satu jam untuk yang berikutnya untuk memulai",sukacita
Menunggu terlalu lama untuk mencoba memesan ornamen Cinderella tahun ini dari Disney.com dan sekarang mereka terjual habis,kesedihan
"Ayam yang terus mendorong kursinya ke kaki saya harus berhenti,",amarah
"Nada suaranya menjadi lebih percaya diri, sedikit marah.",amarah
sepuluh detik yang lalu .. saya membuat cd saya berisi salinan soft saya dari i freaked the min,takut
Begitu.,netral
"Biasanya, ketika Anda selesai mengetik kertas, Anda merasa lega .. Saya baru saja menyelesaikan kertas saya dan sekarang saya harus membersihkan.",sukacita
Apakah jamnya benar?,netral
"Oh h & amp; m, sepasang celana jeans Anda merobek saya dengan cara yang memalukan @hmusa",kesedihan
Just Me and My Boss Tonight at Work ...#KillMenow,sukacita
Itulah yang terjadi ketika Anda fokus pada masalah .. Anda lupa bahwa dia ada di sana. Hari ini BN hari yang buruk tapi saya masih berjalan dalam keyakinan.,sukacita
"Tidak, tapi saya sangat suka.",sukacita
Yah saya seperti satu -satunya penggemar Twilight yang harus menunggu sampai hari Minggu untuk menonton film !!,amarah
"@ududohateslove ahahahaha saya melakukannya sendiri sebagai gantinya,",kesedihan
"Ketika saya berburu di rumah: orang lain mendapat flat yang saya inginkan juga, karena dia menumpuk sedikit kata-kata pada surat itu.",amarah
Apakah Anda tahu bahwa saya jatuh cinta pada Anda pada pandangan pertama.,sukacita
Sudah muak dengan dumbasses hari ini dan saya baru saja bekerja.,sukacita
"Saya putus dengan pacar saya selama tujuh bulan, tetapi itu adalah hubungan yang sangat mendalam dan setelah perasaan kesedihan dan kehilangan berakhir, saya merasakan kesedihan yang luar biasa. """,kesedihan
"Ketika saya mendengar di radio bahwa pertandingan sepak bola di Belgia telah berakhir dengan bencana, dan beberapa orang telah meninggal.  Saya tidak bisa mengerti bagaimana orang normal bisa berperilaku sedemikian rupa.",amarah
Ketika saudara laki -laki saya ditahan dan dirampok.,amarah
@_itsbeautifull lol ok banyak orang saya tetapi beberapa #wordsofwisdom mengenal saya terlebih dahulu kemudian #fear saya kemudian Anda takut r valid :),takut
Bertahun -tahun yang lalu saya jatuh cinta untuk pertama kalinya. sebagai hal yang wajar untuk setiap gadis sekolah yang saya semasial hari. Kemudian (setelah 3 tahun) kami meninggalkan satu sama lain. Tidak ada yang bisa disalahkan tetapi saya merasakan kesedihan yang mendalam. Bahkan sekarang saya ingat cukup sering.,kesedihan
Saya menyadari bahwa gadis itu suka bersama saya.,sukacita
RT: @girlposts: Masyarakat membunuh apa yang tersisa dari Konfedince -nya. Namun dia masih menyalahkan cermin.,kesedihan
& amp; & amp; Kamu juga akan marah !! Lol rt @ronedaruler: lol saya ingin memotong Anda,sukacita
"Setiap kali ayah saya merokok, baunya membuat saya merasa sangat tidak nyaman.  Dia tidak pernah mendengarkan keluhan saya dan saya mengutuknya dengan marah dalam pikiran saya.  Saya tidak bisa menyelesaikan masalah ini dengan kekerasan karena nilai -nilai moral tradisional.",amarah
Penulisan yang sangat produktif.,sukacita
Itu nyata meskipun rt @oyokigurl: @lightabrotha lol Saya butuh berita nyata dalam hidup saya ... Saya menulis lol tapi saya benar -benar smdh,kesedihan
Mempersiapkan Bahan Muffin Dengan Anak untuk Kelas Makanannya Besok = #fun #love! Dia #Cooldude!,sukacita
Akhir pekan lalu tahun lalu bukan akhir pekan yang menyenangkan bagi saya..lol,kesedihan
